artist_id,artist_latitude,artist_location,artist_longitude,artist_name,danceability,duration,energy,key,key_confidence,loudness,mode,mode_confidence,release,song_hotttnesss,song_id,tempo,title,track_id,year
AR7QL2911C8A416805,0.0,NA,0.0,Göteborgs Symfoniker / Neeme Järvi,0.0,904.80281,0.0,0,0.236,-21.394,1,0.428,"Tchaikovsky: Overture \"1812\"; Marche slave / Borodin: In the Steppes; Polovtsian Dances / Rimsky-Korsakov: Russian Easter; Capriccio",-1.0,SOBTJCY12A8C137956,146.354,Russian Easter Festival_ Overture_ Op.36,TRAVTPJ128F4265425,0
AR5R7791187FB3A8C3,0.0,NA,0.0,Alfredo Kraus/Tatiana Troyanos/London Philharmonic Orchestra/Michel Plasson,0.0,55.40526,0.0,6,0.056,-23.73,1,0.468,Massenet: Werther,-1.0,SOQEBML12A8C136AA4,109.158,Werther (1997 Digital Remaster)_ PREMIER ACTE/ACT ONE/ERSTES AKT: Mon âme a reconnu votre âme(Werther/Charlotte),TRAEGMN128F42690CD,0
ARV7J871187FB4F8B6,0.0,NA,0.0,Patrizia Pace/Waltraud Meier/Frank Lopardo/James Morris/Swedish Radio Choir/Stockholm Chamber Choir/Berliner Philharmoniker/Riccardo Muti,0.0,212.4273,0.0,2,0.395,-20.274,0,0.605,Mozart - Sacred Choral Works,-1.0,SOPBKDI12A8C137D8F,37.42,Mass No. 19 in D minor_ 'Requiem' K626: Lacrimosa,TRBCEDT128F4260EC5,0
ARK7ZPW1187B99C170,40.71455,"New York, NY",-74.00712,Orchestra e Coro del Palacio de Bellas Artes Di Cittá del Messico_ Oliviero De Fabritiis_ Maria Call,0.0,370.99057,0.0,7,0.423,-21.08,1,0.355,Verdi: Aida,-1.0,SOBOFKI12A8C134832,114.407,Atto Quarto: 'La Fatal Pietra Sovra Me Si Chiuse...' (Radames) (Verdi),TRAIIBP128F4252D20,0
ARHOSMU1242078130D,0.0,NA,0.0,All Leather,0.0,249.5473,0.0,8,0.537,-5.282,1,0.455,Hung Like A Donut,-1.0,SODUMDU12AC468A22B,150.982,We're Skrewed (Otto Von Schirach My Supernatural Motorcycle Gang Will Knife U Open Piss & Shit All Over Your Organic Starbucks =iPhone Bank Account Lifeless Lifestyle Remix),TRAKOPW12903CE434B,0
ARDR4AC1187FB371A1,0.0,NA,0.0,Montserrat Caballé/Royal Philharmonic Orchestra/Lamberto Gardelli,0.0,498.80771,0.0,8,0.611,-23.576,1,0.724,Very Best of Montserrat Caballe,-1.0,SOGNZTE12A67AD8518,53.766,Guillaume Tell_ Acte II (1988 Digital Remaster): Ils s'éloignent enfin....Sombre forêt,TRAXIDU128E0798B24,0
ARNPPTH1187B9AD429,51.4855,"Heston, Middlesex, England",-0.37196,Jimmy Page_ John Paul Jones_ Albert Lee_ Nicky Hopkins_ Big Jim Sullivan_ Clem Cattini_ Chris Hughes,0.0,131.34322,0.0,10,0.613,-12.176,1,0.526,No Introduction Necessary,0.4981708609556317,SOYUULR12AF72AB86D,175.154,Livin' Lovin' Wreck,TRASZAC128F424A5FB,0
ARN8NCB1187FB49652,46.20835,"Geneva, Switzerland",6.1427,Lionel Rogg,0.0,394.23955,0.0,0,0.608,-16.536,1,0.75,J. S. Bach: The Art of Fugue & 'Vivaldi' Solo Organ Concertos,-1.0,SOFNUGC12A6BD530ED,106.479,Concerto in C major_ BWV 594 (after Vivaldi Op.7 No.5) (2007 Digital Remaster): I. 1st Movement,TRATXBC128EF34B540,0
ARN2M4711C8A423BD6,0.0,"Mascouche, Qc",0.0,David Jalbert,0.0,153.33832,0.0,8,0.455,-30.925,1,0.464,Faure: Complete Nocturnes - David Jalbert,0.19039963058422918,SOYXIYK12A8C138524,44.407,Nocturne For Piano No. 8 In D Flat Major_ Op. 84 No. 8 (also in Huit pièces brèves_ Op. 84/8),TRBEWHE128F425E528,0
ARUGU0E1187B9B30F6,34.05349,"Los Angeles, California, United States",-118.24532,The Doors,0.0,403.61751,0.0,9,0.4,-9.053,0,0.432,Set The Night On Fire: The Doors Bright Midnight Archives Concerts [w/Bonus Album],-1.0,SORPYHC12A6D4F9F58,131.013,Roadhouse Blues (Live In Detroit) (LP Version),TRBEBFU128F14971BD,0
AR67FTZ1187B9975EC,0.0,NY - New York City,0.0,Maria & Margot Hellwig/Die Garmischer Alpenjäger,0.0,202.52689,0.0,2,0.852,-7.753,1,0.709,Lieder Meines Lebens - Zum 90. Geburtstag Der Königin Der Volksmusik,-1.0,SOLHGND12AB0189E22,109.601,Lieder_ Die Uns Ein Leben Lang Begleiten,TRBEAXM12903CC63F5,0
ARN8NCB1187FB49652,46.20835,"Geneva, Switzerland",6.1427,Lionel Rogg,0.0,172.38159,0.0,2,0.518,-20.848,0,0.613,J. S. Bach: The Art of Fugue & 'Vivaldi' Solo Organ Concertos,-1.0,SOCHPTV12A6BD53113,126.786,Die Kunst der Fuge_ BWV 1080 (2007 Digital Remaster): Contrapunctus XVII - Inversus,TRAGYMA128EF34B55E,0
ARPAAHK1187B9ABB00,49.26044,"Hanna, Alberta, Canada",-123.11403,Nickelback featuring Kid Rock,0.0,223.99955,0.0,7,0.704,-3.709,1,0.611,Charlie's Angels: Full Throttle (Music From The Motion Picture),0.6836473417498574,SOFOAIA12A8C136186,156.005,Saturday Night's Alright (For Fighting),TRAQTKV128F427BFA5,2003
AR3UFKE1187B9B186E,0.0,NA,0.0,Dame Edna Everage with Carl Davis conducting the London Symphony Orchestra and The New Antipodean Singers,0.0,494.15791,0.0,8,0.535,-16.708,1,0.659,The Last Night Of The Poms,-1.0,SOGUDRH12AB0189A45,134.828,Song Of Australia - Canto 6 (2009 Digital Remaster),TRBEFUY12903C98485,0
ART8F8O1187B9A538D,0.0,"Salzburg, Austria",0.0,Herbert Von Karajan,0.0,238.10567,0.0,1,0.58,-20.18,1,0.475,J. Strauss: Die Fledermaus,-1.0,SOUVYHS12A8C13AB77,103.929,"Die Fledermaus - Operette in drei Akten/Silvester-Einlagen/Dein ist mein ganzes Herz (aus \"Das Land des Lächelns\")",TRAEISN128F428F699,0
AR3AIEI1187B992D8D,54.31392,Great Britain / UK,-2.23218,Marilyn Horne,0.0,144.06485,0.0,5,0.452,-23.045,1,0.464,Handel Edition Volume 4 - Samson_ Messiah & Arias from Rinaldo_ Serse etc,-1.0,SONGUIH12A6D4F9274,95.469,"Agrippina : Act 3 \"Bel piacere è godere fido amor!\" [Poppea]",TRATBMN12903CC4BAE,0
ARJ45QE1187FB423B8,0.0,"Dearborn, MI",0.0,Ultimate Tracks,0.0,279.40526,0.0,9,0.207,-11.95,0,0.363,Ultimate Tracks - We Are The Reason - as made popular by Avalon [Performance Track],-1.0,SONBYWD12A6D4F5E8B,129.99,We Are The Reason - Medium key performance track w/o background vocals,TRBEUDN128F14860CE,0
ART8F8O1187B9A538D,0.0,"Salzburg, Austria",0.0,Herbert  von Karajan,0.0,201.89995,0.0,7,0.307,-16.398,1,0.274,Karajan: Stravinsky - Oedipus Rex; Bruckner - Te Deum,-1.0,SOKHIUI12A8C135F51,124.748,Oedipus Rex_ Atto Secondo: Divum Jocastae Caput Mortuum (Messaggero_ Coro) (Stravinsky),TRADDXJ128F4252062,0
AR0PUK71187B9AC3C0,40.71455,"New York, NY",-74.00712,Marvin Hamlisch;John Lithgow;Jeffrey Huard,0.0,99.70893,0.0,9,0.239,-11.404,1,0.39,Sweet Smell of Success (Original Broadway Cast Recording),-1.0,SOVBRIV12A8C133996,118.566,At the Fountain (Reprise) (Brian d'Arcy James & Ensemble),TRBEQHL128F4272CBC,0
ARDR4AC1187FB371A1,0.0,NA,0.0,Montserrat Caballé/Orchestra of the Royal Opera House_ Covent Garden/Carlo Maria Giulini,0.0,168.56771,0.0,1,0.429,-22.06,1,0.539,Verdi: Don Carlo,-1.0,SOFYJJG12A8BEE9583,71.609,Don Carlo (2000 Digital Remaster): Tu che le vanità (Elisabetta),TRBHDJS128F42603F9,0
ART8F8O1187B9A538D,0.0,"Salzburg, Austria",0.0,Herbert von Karajan and Turin RAI Symphony Orchestra,0.0,770.35057,0.0,0,0.567,-18.427,1,0.708,Karajan and Bernstein: Beethoven Masterpieces,-1.0,SOCIKUA12AB0180275,92.731,Symphony No. 7 in A Major_ Op. 92: I. Poco sostenuto - Vivace,TRARVJE128F93127EF,0
AR3AIEI1187B992D8D,54.31392,Great Britain / UK,-2.23218,Marilyn Horne,0.0,231.57506,0.0,2,0.664,-16.682,1,0.576,Handel Edition Volume 4 - Samson_ Messiah & Arias from Rinaldo_ Serse etc,-1.0,SOQJJVP12AB01868CB,124.759,"Rinaldo : Act 3 \"Or la tromba in suon festante\" [Rinaldo]",TRAVIFJ12903CC4BA3,0
AR323JD1187FB483D0,0.0,New York,0.0,Solomon,0.0,150.56934,0.0,5,0.659,-21.835,0,0.509,Beethoven: Piano Sonatas 29 & 32,-1.0,SOLYUYS12A81C23F3A,68.742,"Piano Sonata No. 29 in B flat major Op. 106  \"Hammerklavier\" (2005 Digital Remaster): II.     Scherzo (Assai vivace) - Presto",TRBGTCB128F42548C2,0
ARQCHDN1187FB4C7C2,-22.97673,"Rio de Janeiro, Brazil",-43.19508,Luiz Bonfa / Oscar Castro Neves / Lalo Schifrin,0.0,186.67057,0.0,9,0.136,-21.091,0,0.238,Composer of Black Orpheus Plays and Sings Bossa Nova,0.42409081096743817,SOKQNUO12A6D4FAB22,86.71,Tristeza (Brazilian Blues),TRBHOTH128F149A01B,0
ARVG4OK1187B9B6BD3,0.0,NA,0.0,The Killers,0.0,527.98649,0.0,1,0.764,-8.361,1,0.664,Rock Hits Workout 45 Minute Continuous Fitness Music Mix. 114Bpm  152Bpm For Jogging_ Cycling_ Spin,-1.0,SOQFWBE12A8C1316AF,134.02,Mr. Brightside (Jacques Lu Cont's Thin White Duke Mix),TRASYQQ128F425092B,2005
AR57WGF1187FB41F11,0.0,NA,0.0,Alan Feinberg,0.0,155.19302,0.0,11,0.464,-28.327,0,0.539,Music To My Ears_ A Collection of Music for Children of All Ages - Fauré_ Chopin_ Saint-Saëns_ Schumann_ Borodin_ Bach_ etc,-1.0,SOZMHGF12AB017E01C,70.1,Menuet in the Name of Haydn,TRATVGT128F9310C89,0
ARHNMEZ11F50C4706C,35.83073,Tennessee,-85.97874,Karen Peck And New River,0.0,177.76281,0.0,8,0.573,-8.335,1,0.506,I'll Never Be Able To Tell It All (Studio Track),0.0,SOWBRNM12AB018AD0E,148.03,I'll Never Be Able (To Tell It All) (High Key-Studio Track w/o Background Vocals),TRBEVJC12903CCE75B,0
ARC3JTL1187FB4A1CE,39.74023,"WILMINGTON, Delaware",-75.55084,Hawkshaw Hawkins,0.0,71.1571,0.0,5,0.562,-9.902,1,0.5,Country Style U.S.A. with Kitty Wells_ Johnnie & Jack_ Hawkshaw Hawkins_ Jean Shepard,-1.0,SOSYSGH12AB0186C4F,117.696,Intro / Stay All Night_ Stay A Little Longer,TRBHUQW12903CA89A7,0
AR342K51187B98B571,0.0,NA,0.0,Timothy Byram-Wigfield,0.0,473.46893,0.0,0,0.465,-32.934,1,0.464,Olivier Messiaen: Les Corps Glorieux - Le Banquet céleste - Apparition de l'Eglise éternelle,-1.0,SOSXIUD12AB017FBB6,112.238,Les Corps Glorieux: III. L'Ange aux parfums,TRANGMD128F9302413,2002
ARODBRG1187FB3FD99,-36.35484,"Wangaratta, Victoria, Australia",146.32611,Nick Cave & The Bad Seeds,0.0,290.95138,0.0,3,0.787,-15.456,1,0.683,Henry's Dream (2010 Digital Remaster),0.38293509007501925,SOTDEPN12AC3DF46DB,109.857,Christina The Astonishing (2010 Digital Remaster),TRBDIBC12903CE95C2,0
ARBH0MS1187FB36311,0.0,NA,0.0,Sir Neville Marriner,0.0,220.05506,0.0,0,0.435,-25.585,0,0.678,Respighi: Ancient Airs and Dances,-1.0,SOOZPUG12A8C132EDD,0.0,Ancient Airs and Dances (1996 Digital Remaster)_ Suite No. 2: III.  Campanae parisienses (anon.) - Aria (Marin Mersenne),TRAFEUS128F4258E64,0
AR323JD1187FB483D0,0.0,New York,0.0,Solomon,0.0,834.24608,0.0,0,0.221,-22.875,1,0.402,Piano Concertos; Grieg & Schumann,-1.0,SOFKMMF12AB018CE39,199.792,Concerto In A Minor_ Op 54: First Movement - Allegro Affettuoso - Andante Espressivo - Tempo I - Cadenza - Allegro Molto,TRBBFTS12903CDC3D9,0
AROATPL1187FB48E12,34.16788,Arizona,-111.9307,UFO,0.0,1819.76771,0.0,2,0.601,-14.402,1,0.475,"Parker's Birthday \"Live in Texas",-1.0,SOKKDSX12AB018866A,134.531,Electric Phase / Hot 'n' Ready / Pack It Up 'n' Go / Cherry / Out In The Street / Let It Roll / Too Hot To Handle,TRBGBIZ12903CB26BA,0
AREBSCJ1241B9C7BDF,0.0,NA,0.0,Staatskapelle Dresden/Herbert Blomstedt,0.0,158.92853,0.0,7,0.0,-19.897,1,0.09,Grieg: Peer Gynt_ Piano Concerto & Songs,-1.0,SOBFOYA12A6D4FB36C,100.005,Peer Gynt - Incidental Music (2004 Digital Remaster): 4.   In the Hall of the Mountain King,TRAHNHL128F14A4DDD,0
ARTML781187B9AF080,0.0,NA,0.0,Neeme Jarvi,0.0,194.48118,0.0,8,0.641,-17.382,1,0.644,KODALY: Dances of Galanta / Hary Janos Suite / Peacock Variations,-1.0,SOILAOQ12AB01894C9,131.118,Hary Janos Suite : VI. A csaszari udvar bevonulasa (Entrance of the Emperor and his Court),TRAHIGT12903CC04A8,0
AR6TZJQ1187B9AD572,45.60718,"Montbrison, France",4.06212,Pierre Boulez,0.0,956.60363,0.0,0,0.151,-18.628,0,0.248,Boulez: Pli Selon Pli; and Livre pour Cordes,-1.0,SOTNIIP12A8C1359DA,47.794,"Pli Selon Pli (\"fold according to fold\")/IV.  Improvisation sur Mallarmé III",TRAMEQB128F42710BB,0
ART62WC1187FB47E80,0.0,New Mexico,0.0,The Game feat. Jim Jones Camron & Bezell,0.0,210.23302,0.0,7,0.723,-6.647,1,0.272,Westside Story Remix feat. Snoop Dogg & 50 Cent,0.4072330149011048,SOAEQKJ12A58A761EA,69.555,Certified Gangstas (featuring Jim Jones Camron & Bezell),TRAQMZB128EF351A09,0
ARRWAD71187FB3FE44,40.71455,NY - New York City,-74.00712,Martha Wainwright,0.0,287.08526,0.0,10,0.513,-11.574,0,0.516,Sans Fusils_ Ni Souliers_ A Paris: Martha Wainwright's Piaf Record,0.5971167029227197,SOPDRUR12AB0182EC1,82.124,C'est Toujours la Même Histoire,TRBDUMD128F9327534,2009
AR4B1LP1187FB55C83,0.0,NA,0.0,Juan Diego Flórez / Orquesta Sinfónica de Madrid / Jesús López-Cobos,0.0,35.44771,0.0,7,0.738,-22.694,1,0.707,Gluck: Orfée et Euridice,-1.0,SOITNRQ12AB01884D3,70.886,Vos plaintes_ vos regrets_ augmentent mon supplice,TRAYUTE12903CE525F,0
ARKCTSM11F4C83C839,0.0,NA,0.0,Igor Stravinsky;Columbia Symphony Orchestra,0.0,181.26322,0.0,1,0.065,-30.726,1,0.319,Igor Stravinsky (1882-1971),-1.0,SOBUUZH12AF72A5BBC,106.343,Le Sacre du Printemps (The Rite of Spring)/Part One: The Adoration of the Earth - Introduction,TRAXXZP128F427ACA6,0
ARID33C1187FB4610A,34.16788,Arizona,-111.9307,David Rose,0.0,292.80608,0.0,0,0.411,-13.176,0,0.362,Ultra-Lounge / On The Rocks With A Twist - Part 2,-1.0,SOLLLZR12AB0180455,109.059,Wear Your Love Like Heaven / Workin' On A Groovy Thing (Medley) (1997 Digital Remaster),TRBHDIZ128F9313AB3,0
ARTDQRC1187FB4EFD4,0.0,"Los Angeles, CA",0.0,Black Eyed Peas,0.0,229.61587,0.0,11,0.205,-4.882,0,0.332,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,0.6244254932707666,SOCHRXB12A8AE48069,105.206,Let's Get It Started,TRAAGCZ128F93210FD,2004
ARDR4AC1187FB371A1,0.0,NA,0.0,Montserrat Caballé;Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,0.0,511.16363,0.0,8,0.662,-26.358,1,0.385,Puccini: Highlights From La Boheme,-1.0,SOBAYLL12A8C138AF9,86.666,Sono andati? Fingevo di dormire,TRABBOR128F4286200,0
AR8ZTV41187FB3F311,57.15382,"Aberdeen, Scotland",-2.10679,James Scott Skinner,0.0,184.52853,0.0,10,1.0,-18.935,1,0.826,The Strathspey King,-1.0,SOUUOSZ12A8C14378D,133.953,Triumph / Timour The Tartar / The Left Handed Fiddler / Speed The Plough / De'il Among The Tailors,TRADLHA128F92CDA63,0
ARFWL8S1187B9B4B44,0.0,"Charlemagne, Quebec, Canada",0.0,Céline Dion,0.0,179.01669,0.0,3,0.601,-14.403,1,0.56,Dion Chante Plamondon - Celine Dion Sings The Songs Of Luc Plamondon,0.46899778764525596,SOYYANE12A8C132D08,80.999,Un Garcon Pas Comme Les Autres (Ziggy),TRAEGAZ128F426240C,0
ARLZ3CF1187B98BD56,37.77916,"San Francisco, CA",-122.42005,Daryl Coley,0.0,352.88771,0.0,0,0.825,-8.078,1,0.735,Beyond the Veil: Live at Bobby Jones Gospel Explosion XIII,-1.0,SOLKQVW12A6D4F69AB,85.563,Standing On The Promises (Palmore) (Beyond The Veil Album Version),TRASRJY128F146AB74,0
AR3NPVS1187FB5108F,48.85692,"Paris, France",2.34121,Les Rythmes Digitales/ Tzant Feat. ODC MC,0.0,186.40934,0.0,6,0.599,-4.242,0,0.584,Mash Up Mix 90s,-1.0,SOTBVCU12AB0187B3C,86.113,Jacques Your Body (Make Me Sweat)/ Sounds Of Wickedness (PF Project Def Scratch Mix),TRAGJQS12903CC9CD0,0
ARFAKQ01187B990163,0.0,NA,0.0,Georges Delerue,0.0,130.66404,0.0,6,0.742,-24.953,1,0.428,Police Python 357 / L'Important C'Est D'Aimer/Paul Gaugu In/ Malpertuis / Jamais Plus Toujours,0.0,SOYQOTZ12A6D4FCD86,178.63,Le Théâtre / Bof L'Important C'Est D'Aimer,TRAHTEK128F4214840,0
ARDR4AC1187FB371A1,0.0,NA,0.0,Montserrat Caballé;Eugenio  Marco,0.0,254.1971,0.0,3,0.637,-18.119,1,0.532,Zarzuela Arias & Duets,-1.0,SOASWGE12A8C13A206,64.796,Bohemios: No quiero que sepa que aquí vengo yo (Gypsies: I don't want him to know that I am here),TRAXBJX128F428A6A9,0
AR6TZJQ1187B9AD572,45.60718,"Montbrison, France",4.06212,Pierre Boulez,0.0,530.70322,0.0,8,0.082,-16.958,0,0.0,Messiaen : Edition,-1.0,SONKNTF12A6D4F59C5,152.986,"Messiaen : Et exspecto resurrectionem mortuorum : IV \"Ils ressusciteront_ glorieux_ avec un nom nouveau",TRBHIDP128F147DE7D,0
ARVUN5F1187FB4CCC7,0.0,"Kingston, Jamaica",0.0,Beenie Man Featuring Wyclef And Redman,0.0,228.04853,0.0,1,0.61,-4.541,1,0.415,Love Me Now (featuring Wyclef) (International Only),-1.0,SOJRNQF12A8C134D57,79.823,Love Me Now (Rockwilder Remix) (Feat. Wyclef And Redman),TRABXWD128F425AD1E,0
ARDK0551187FB5AC48,31.30627,"Marlin, TX",-96.89774,Blind Willie Johnson,0.0,189.3873,0.0,5,0.215,-16.111,1,0.415,The Roots Of Rap: Classic Recordings From The 1920s & 30s,0.35853497592151906,SOHMHLN12AC90977FE,164.641,If I Had My Way I'd Tear This Building Down,TRAHZIL12903CF1DC2,1996
ARXZIHJ1187B9A4ED9,41.94508,"Attleboro, MA",-71.28109,Ray Conniff;Billy Butterfield,0.0,175.15057,0.0,8,0.494,-13.526,1,0.453,CONNIFF MEETS BUTTERFIELD               BILLY BUTTERFIELD and RAY CONNIFF,0.0,SOIOUIR12AB017ED30,116.195,Time On My Hands (You In My Arms),TRAVXVJ128F92EA97C,0
ARGBR4I1187B99D073,47.60356,"Seattle, WA",-122.32944,Mudhoney,0.0,519.13098,0.0,0,0.434,-6.591,1,0.587,Tomorrow Hit Today,0.5147533243380469,SOFMBEN12AB0180769,131.642,"Beneath The Valley Of The Underdog (Album Version + Hidden Track \"Talkin' Randy Tate's...\")",TRBDLXE128F9310E95,1998
ARDSWIE1187FB39056,0.0,"Boston, Massachusettes",0.0,Gang Starr Featuring Jeru The Damaja And Lil Dap,0.0,244.32281,0.0,1,0.216,-15.55,1,0.292,Daily Operation,0.609188864062718,SOIVSQZ12A6D4F68BF,95.301,I'm The Man (Explicit) (Feat. Jeru The Damaja And Lil Dap),TRADOXP128F145C13A,1992
ARUGU0E1187B9B30F6,34.05349,"Los Angeles, California, United States",-118.24532,The Doors,0.0,272.45669,0.0,0,0.354,-13.473,0,0.389,Waiting For The Sun [40th Anniversary Mixes],0.6083390068705503,SOJAWYZ12A67ADE3EC,97.035,Albinoni's Adagio In G Minor (LP Version),TRAKTNE128EF3427CC,0
ARGV2PR1187B9AD702,41.90311,"Rome, Italy",12.49576,Cecilia Bartoli / International Chamber Soloists / Orchestra La Scintilla / Adam Fischer,0.0,225.14893,0.0,5,0.371,-25.349,0,0.49,Maria,0.21508031850922793,SOFJCSH12A81C20934,79.261,Se un mio desir...Cedi al duo!,TRAVOBO128F422B7BC,0
ART8F8O1187B9A538D,0.0,"Salzburg, Austria",0.0,Herbert  von Karajan,0.0,198.45179,0.0,5,0.345,-20.731,0,0.342,Karajan: Stravinsky - Oedipus Rex; Bruckner - Te Deum,-1.0,SOJBWKS12A8C135255,75.377,Oedipus Rex_ Atto Primo: Liberi_ Vos Liberabo (Oedipus) (Stravinsky),TRATFJI128F4252046,0
ARHSS201187B98A8CC,0.0,NA,0.0,Yvette Horner,0.0,137.32526,0.0,1,0.565,-7.748,1,0.555,"Vintage World Nº 16 - EPs Collectors \"Yvette Horner And His Accordion",-1.0,SOCNIVN12AC3DF98D2,62.614,Le Chant Du Tropeau (La Canción Del Rebaño) Vals Tirolés,TRAVQTM12903CE81E9,0
ARU9Q5Q1187FB3D6EB,34.05349,"Los Angeles, CA",-118.24532,Bobby Hutcherson,0.0,399.51628,0.0,2,0.484,-12.321,0,0.461,Dialogue (The Rudy Van Gelder Edition),0.0,SOKHMUX12A8C13A78A,151.391,Les Noirs Marchant (Rudy Van Gelder 24Bit Mastering) (2002 Digital Remaster),TRBCDRM128F428FCCB,0
ARWTFKF1241B9C68DC,0.0,NA,0.0,Vienna Concert House Orchestra_ Wiener Sängerknaben_ Ferdinand Grossmann,0.0,178.65098,0.0,2,0.534,-21.039,0,0.615,66 Mozart Masterpieces,0.0,SOJZHQO12AB0184E36,41.634,Requiem Mass in D Minor_ K. 626: VIII. Lacrimosa dies illae,TRBHKVE12903CAAEB4,0
