name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
BLACK,160,150186,55.67,20974.72,76.65,18.56,0.42,1.35,1.49,1.53
HOLMES,161,150166,55.67,21030.39,59.22,36.52,0.31,0.73,1.72,1.5
STONE,162,149802,55.53,21085.92,87.4,7.9,0.55,0.93,1.58,1.64
MEYER,163,149664,55.48,21141.4,96.07,0.45,0.57,0.24,1.13,1.55
BOYD,164,149476,55.41,21196.81,65.64,29.94,0.41,0.97,1.66,1.38
MILLS,165,147909,54.83,21251.64,79.7,16.09,0.4,0.79,1.5,1.52
WARREN,166,147906,54.83,21306.47,72.5,23.09,0.43,0.8,1.72,1.47
FOX,167,147357,54.62,21361.09,89.82,5.68,0.55,1.03,1.39,1.54
ROSE,168,146924,54.46,21415.56,84.23,10.86,0.52,0.61,1.83,1.95
RICE,169,146440,54.28,21469.84,79.65,16.26,0.4,0.65,1.51,1.52
MORENO,170,146088,54.15,21524,7.05,0.37,0.64,0.48,0.49,90.97
SCHMIDT,171,145565,53.96,21577.96,96.48,0.28,0.46,0.33,0.87,1.57
PATEL,172,145066,53.78,21631.73,1.55,0.26,91.37,0.41,5.84,0.57
FERGUSON,173,142256,52.73,21684.47,77.54,18.05,0.44,0.6,1.66,1.71
NICHOLS,174,141936,52.62,21737.08,84.29,11.36,0.41,0.69,1.57,1.69
HERRERA,175,140786,52.19,21789.27,5.6,0.37,1.01,0.68,0.41,91.93
MEDINA,176,139353,51.66,21840.93,6.39,0.53,1.95,0.39,0.64,90.1
RYAN,177,139335,51.65,21892.58,93.33,2.82,0.64,0.42,1.17,1.62
FERNANDEZ,178,139302,51.64,21944.22,11.35,1.28,5.17,0.22,1.29,80.7
WEAVER,179,138811,51.46,21995.68,85.71,10.02,0.4,1.07,1.4,1.41
DANIELS,180,138776,51.44,22047.12,57.17,37.83,0.44,0.86,1.92,1.78
STEPHENS,181,138742,51.43,22098.55,76.54,19.22,0.37,0.64,1.61,1.63
GARDNER,182,138660,51.4,22149.95,77.23,18.67,0.44,0.67,1.51,1.47
PAYNE,183,138028,51.17,22201.12,73.69,22.03,0.35,0.54,1.75,1.64
KELLEY,184,137555,50.99,22252.11,85.81,10.21,0.47,0.62,1.52,1.38
DUNN,185,136955,50.77,22302.88,82.35,13.48,0.63,0.54,1.48,1.53
PIERCE,186,136517,50.61,22353.48,82.72,12.63,0.4,1.01,1.61,1.64
ARNOLD,187,136315,50.53,22404.02,83.35,12.63,0.43,0.55,1.48,1.56
TRAN,188,136095,50.45,22454.47,1.56,0.16,95.61,0.07,1.98,0.62
SPENCER,189,134443,49.84,22504.3,71.71,22.55,0.69,1.33,1.97,1.75
PETERS,190,134231,49.76,22554.06,85.16,9.45,0.78,1.34,1.54,1.73
HAWKINS,191,134066,49.7,22603.76,63.6,32.07,0.37,0.65,1.72,1.58
GRANT,192,134034,49.69,22653.45,58.25,36.58,0.41,1.07,1.89,1.81
HANSEN,193,133474,49.48,22702.93,95.64,0.4,0.6,0.49,1.24,1.62
CASTRO,194,133254,49.4,22752.32,8.72,0.66,3.83,0.3,0.97,85.52
HOFFMAN,195,132645,49.17,22801.49,95.45,1.11,0.44,0.53,1.04,1.43
HART,196,132466,49.1,22850.6,82.71,12.92,0.46,0.73,1.48,1.7
ELLIOTT,197,132457,49.1,22899.7,83.87,12.16,0.42,0.62,1.48,1.45
CUNNINGHAM,198,131896,48.89,22948.59,75.56,20.4,0.41,0.47,1.53,1.63
KNIGHT,199,131860,48.88,22997.47,74.79,20.78,0.4,0.74,1.67,1.63
BRADLEY,200,131289,48.67,23046.14,71.21,24.39,0.4,0.82,1.62,1.56
CARROLL,201,131020,48.57,23094.71,85.05,11,0.44,0.63,1.39,1.5
HUDSON,202,130793,48.48,23143.19,69.35,26.22,0.39,0.9,1.66,1.49
DUNCAN,203,130419,48.35,23191.54,78.88,16.48,0.39,0.94,1.65,1.66
ARMSTRONG,204,129982,48.18,23239.72,74.96,20.3,0.47,0.86,1.64,1.76
BERRY,205,129405,47.97,23287.69,73.27,22.26,0.44,0.68,1.75,1.6
ANDREWS,206,129320,47.94,23335.63,74.23,20.84,0.59,0.92,1.78,1.65
JOHNSTON,207,128935,47.8,23383.43,93.13,2.45,0.52,0.74,1.41,1.74
RAY,208,128794,47.74,23431.17,77.59,17.07,1.25,0.8,1.64,1.66
LANE,209,128727,47.72,23478.89,79.36,16.22,0.5,0.85,1.52,1.54
RILEY,210,127960,47.43,23526.33,75.08,20.52,0.39,0.81,1.51,1.68
CARPENTER,211,127073,47.11,23573.43,88.07,8.13,0.45,0.6,1.32,1.43
PERKINS,212,126951,47.06,23620.49,71.52,23.95,0.43,0.71,1.76,1.63
AGUILAR,213,126399,46.86,23667.35,4.7,0.22,1.74,0.66,0.49,92.19
SILVA,214,126164,46.77,23714.12,33.68,1.19,1.82,0.41,4.75,58.15
RICHARDS,215,125653,46.58,23760.7,81.74,13.28,0.53,0.94,1.62,1.89
WILLIS,216,125627,46.57,23807.26,64.74,30.38,0.46,1.16,1.77,1.49
MATTHEWS,217,124839,46.28,23853.54,66.21,29.45,0.49,0.54,1.79,1.53
CHAPMAN,218,124614,46.19,23899.74,81.57,14.11,0.42,0.79,1.53,1.58
LAWRENCE,219,124321,46.09,23945.82,71.93,23.12,0.58,0.91,1.81,1.65
GARZA,220,124130,46.01,23991.84,6.59,0.19,0.15,0.29,0.31,92.47
VARGAS,221,123952,45.95,24037.78,6.2,0.44,0.84,0.23,0.51,91.78
WATKINS,222,122447,45.39,24083.18,64.54,31.38,0.33,0.62,1.78,1.35
WHEELER,223,121684,45.11,24128.28,82.79,12.84,0.41,0.91,1.45,1.61
LARSON,224,121064,44.88,24173.16,96.13,0.39,0.55,0.62,1.03,1.27
CARLSON,225,120124,44.53,24217.69,96.22,0.4,0.54,0.5,1.03,1.32
HARPER,226,119868,44.43,24262.13,70.12,25.64,0.36,0.6,1.77,1.5
GEORGE,227,119778,44.4,24306.53,71.44,17.37,4.67,2.22,2.07,2.24
GREENE,228,119604,44.34,24350.86,70.34,25.52,0.39,0.72,1.73,1.3
BURKE,229,119175,44.18,24395.04,87.74,8.4,0.48,0.49,1.31,1.57
GUZMAN,230,118390,43.89,24438.93,4.73,0.49,1.44,0.21,0.45,92.69
MORRISON,231,117939,43.72,24482.65,81.68,13.8,0.5,0.93,1.6,1.5
MUNOZ,232,117774,43.66,24526.31,5.52,0.3,0.88,0.29,0.41,92.61
JACOBS,233,115540,42.83,24569.14,76.65,15.86,0.48,3.66,1.63,1.72
OBRIEN,234,115385,42.77,24611.91,95.31,1.13,0.53,0.33,1.18,1.52
LAWSON,235,115186,42.7,24654.61,76.3,19.71,0.33,0.6,1.67,1.39
FRANKLIN,236,114859,42.58,24697.19,57.22,37.78,0.45,0.87,1.96,1.71
LYNCH,237,114448,42.43,24739.61,84.22,11.23,0.43,0.98,1.46,1.68
BISHOP,238,114034,42.27,24781.88,86.38,9.71,0.46,0.51,1.41,1.53
CARR,239,113892,42.22,24824.1,75.79,20.07,0.36,0.56,1.6,1.63
SALAZAR,240,113468,42.06,24866.17,6.14,0.28,1.59,0.58,0.52,90.89
AUSTIN,241,113160,41.95,24908.11,69.57,25.5,0.5,0.81,1.79,1.82
MENDEZ,242,112736,41.79,24949.91,5.27,0.81,0.47,0.35,0.51,92.6
GILBERT,243,112406,41.67,24991.57,80.31,14.98,0.42,0.69,1.49,2.11
JENSEN,244,112332,41.64,25033.21,95.44,0.36,0.58,0.79,1.18,1.65
WILLIAMSON,245,112216,41.6,25074.81,79.22,16.74,0.39,0.71,1.51,1.44
MONTGOMERY,246,112144,41.57,25116.38,70.22,25.53,0.45,0.55,1.72,1.53
HARVEY,247,112136,41.57,25157.95,70.7,24.11,0.41,1.56,1.65,1.58
OLIVER,248,111641,41.38,25199.34,66.74,26.81,0.54,0.72,1.85,3.33
HOWELL,249,109634,40.64,25239.98,81.31,14.55,0.36,0.67,1.48,1.64
DEAN,250,109230,40.49,25280.47,78.74,16.23,0.81,0.64,1.76,1.82
HANSON,251,109079,40.44,25320.91,93.87,2.39,0.57,0.58,1.2,1.39
WEBER,252,107866,39.99,25360.89,95.58,1.19,0.46,0.36,1,1.41
GARRETT,253,107777,39.95,25400.84,72.43,23.57,0.31,0.56,1.65,1.48
SIMS,254,107244,39.76,25440.6,56.84,39.14,0.32,0.51,1.77,1.42
BURTON,255,107158,39.72,25480.32,69.73,26.03,0.41,0.53,1.71,1.6
FULLER,256,106682,39.55,25519.87,75.53,20.39,0.46,0.58,1.64,1.41
SOTO,257,106631,39.53,25559.4,5.94,0.55,0.47,0.34,0.43,92.27
MCCOY,258,106481,39.47,25598.87,69,26.39,0.38,0.81,1.73,1.69
WELCH,259,105804,39.22,25638.09,85.6,9.83,0.45,1.04,1.45,1.63
CHEN,260,105544,39.12,25677.21,1.68,0.36,95.45,0.02,2,0.49
SCHULTZ,261,104962,38.91,25716.12,96.24,0.62,0.42,0.37,0.95,1.4
WALTERS,262,104281,38.66,25754.78,85.31,10.3,0.46,0.86,1.32,1.74
REID,263,104007,38.56,25793.34,63.24,32.01,0.47,0.57,1.97,1.74
FIELDS,264,103242,38.27,25831.61,59.74,35.2,0.33,1.24,2,1.49
WALSH,265,103216,38.26,25869.87,95.9,0.96,0.49,0.2,1.04,1.41
LITTLE,266,102718,38.08,25907.95,72.28,23.39,0.36,1.2,1.52,1.25
FOWLER,267,102620,38.04,25945.99,83.34,12.32,0.4,0.96,1.53,1.45
BOWMAN,268,102239,37.9,25983.89,82.9,12.94,0.42,0.84,1.46,1.45
DAVIDSON,269,102044,37.83,26021.71,86.25,9.58,0.46,0.6,1.51,1.6
MAY,270,101726,37.71,26059.42,85.54,9.45,0.94,0.66,1.41,2.01
DAY,271,101676,37.69,26097.11,85.18,10.12,0.7,0.97,1.46,1.57
SCHNEIDER,272,100553,37.27,26134.39,96.67,0.33,0.43,0.27,0.9,1.41
NEWMAN,273,100491,37.25,26171.64,84.97,10.57,0.49,0.65,1.64,1.68
BREWER,274,100465,37.24,26208.88,83.34,12.03,0.33,1.24,1.58,1.47
LUCAS,275,100417,37.22,26246.11,73.57,18.33,1.35,0.5,1.72,4.53
HOLLAND,276,99885,37.03,26283.13,78.86,17.23,0.36,0.55,1.54,1.46
WONG,277,99392,36.84,26319.98,3.33,0.71,88.5,0.05,4.39,3.02
BANKS,278,99294,36.81,26356.79,41.3,54.24,0.3,0.41,2.28,1.47
SANTOS,279,98993,36.7,26393.48,21.93,1.82,13.21,0.33,4.38,58.32
CURTIS,280,98958,36.68,26430.17,79.88,15.42,0.41,1.07,1.56,1.67
PEARSON,281,98728,36.6,26466.76,74.49,21.59,0.47,0.43,1.6,1.42
DELGADO,282,98675,36.58,26503.34,6.45,0.69,0.71,0.24,0.66,91.26
VALDEZ,283,98610,36.55,26539.9,6.84,0.54,3.36,0.71,0.73,87.82
PENA,284,98345,36.46,26576.35,5.92,0.51,1.05,0.39,0.58,91.55
RIOS,285,96569,35.8,26612.15,5.33,0.45,0.39,0.4,0.41,93.02
DOUGLAS,286,96425,35.74,26647.9,61.34,33.49,0.43,0.68,2.02,2.05
SANDOVAL,287,96303,35.7,26683.6,6,0.19,0.55,2.18,0.41,90.66
BARRETT,288,95896,35.55,26719.14,83.22,12.41,0.57,0.55,1.54,1.72
HOPKINS,289,94603,35.07,26754.21,75.56,20.28,0.42,0.82,1.55,1.37
KELLER,290,94300,34.96,26789.17,92.93,3.59,0.42,0.47,1.11,1.49
GUERRERO,291,94152,34.9,26824.07,5.16,0.32,2.36,0.25,0.6,91.32
STANLEY,292,93817,34.78,26858.85,81.04,14.15,0.52,1.05,1.57,1.65
BATES,293,93743,34.75,26893.6,77.09,18.56,0.41,0.73,1.48,1.72
ALVARADO,294,93723,34.74,26928.34,4.79,0.33,0.6,0.29,0.44,93.57
BECK,295,93161,34.53,26962.88,91.73,4.47,0.58,0.6,1.23,1.39
ORTEGA,296,93131,34.52,26997.4,5.69,0.33,1.1,0.62,0.43,91.83
WADE,297,92834,34.41,27031.81,67.49,28.13,0.36,0.65,1.87,1.49
ESTRADA,298,92831,34.41,27066.23,5.23,0.49,1.77,0.33,0.53,91.65
CONTRERAS,299,92660,34.35,27100.57,4.72,0.24,0.62,0.3,0.37,93.75
BARNETT,300,92287,34.21,27134.78,78.75,16.63,0.36,0.86,1.78,1.63
CALDWELL,301,91338,33.86,27168.64,70.27,25.58,0.34,0.69,1.55,1.57
SANTIAGO,302,90967,33.72,27202.36,5.86,1.46,4.43,0.19,0.84,87.22
LAMBERT,303,90618,33.59,27235.96,85.71,9.34,0.46,1.16,1.39,1.94
POWERS,304,90401,33.51,27269.47,91.01,5.14,0.51,0.52,1.23,1.58
CHAMBERS,305,90325,33.48,27302.95,68.8,26.93,0.36,0.56,1.78,1.57
NUNEZ,306,90208,33.44,27336.39,6.44,0.77,0.8,0.3,0.47,91.21
CRAIG,307,89591,33.21,27369.6,81.17,14.47,0.5,0.68,1.57,1.61
LEONARD,308,89198,33.07,27402.67,82.59,13.14,0.45,0.75,1.32,1.75
LOWE,309,89178,33.06,27435.73,75.29,18.53,1.66,0.94,1.83,1.75
RHODES,310,88917,32.96,27468.69,77.16,19.04,0.32,0.62,1.45,1.41
BYRD,311,88811,32.92,27501.61,61.25,34.2,0.26,1.08,1.83,1.39
GREGORY,312,88810,32.92,27534.53,80.87,14.62,0.43,0.75,1.51,1.82
SHELTON,313,88326,32.74,27567.27,76.18,19.76,0.36,0.62,1.7,1.37
FRAZIER,314,88325,32.74,27600.01,59.05,36.14,0.37,1.29,1.85,1.3
BECKER,315,88114,32.66,27632.68,96.4,0.46,0.45,0.31,1.02,1.38
MALDONADO,316,88016,32.63,27665.31,5.53,0.51,0.33,0.27,0.42,92.95
FLEMING,317,87949,32.6,27697.91,74.59,21.51,0.44,0.48,1.55,1.43
VEGA,318,87728,32.52,27730.43,6.46,0.6,0.65,0.29,0.45,91.54
SUTTON,319,87373,32.39,27762.82,75.08,20.88,0.37,0.64,1.61,1.41
COHEN,320,87226,32.33,27795.15,90.63,5.51,0.42,0.11,1.23,2.11
